 ,Area,Min,Max,Median,Slice
205,50,13255,13546,13362,1179
206,50,13194,13475,13323,1180
207,50,13218,13474,13329,1181
208,50,13214,13533,13338,1182
209,50,13185,13496,13346,1183
210,50,13211,13493,13347,1184
211,50,13195,13489,13333,1185
212,50,13246,13490,13349,1186
213,50,13212,13447,13328,1187
214,50,13237,13491,13348,1188
215,50,13244,13483,13348,1189
216,50,13243,13476,13343,1190
217,50,13251,13486,13343,1191
218,50,13255,13495,13339,1192
219,50,13251,13505,13355,1193
220,50,13233,13488,13340,1194
221,50,13241,13485,13339,1195
222,50,13250,13484,13355,1196
223,50,13228,13472,13344,1197
224,50,13227,13480,13347,1198
225,50,13181,13445,13323,1199
226,50,13209,13461,13333,1200
227,50,13262,13512,13350,1201
228,50,13233,13484,13332,1202
229,50,13241,13487,13338,1203
230,50,13226,13459,13336,1204
231,50,13223,13453,13325,1205
232,50,13210,13453,13328,1206
233,50,13186,13434,13323,1207
234,50,13214,13438,13323,1208
235,50,13218,13442,13326,1209
236,50,13204,13483,13338,1210
237,50,13214,13459,13332,1211
238,50,13270,13511,13354,1212
239,50,13280,13551,13384,1213
240,50,13255,13531,13370,1214
241,50,13265,13515,13360,1215
242,50,13269,13531,13362,1216
243,50,13269,13542,13348,1217
244,50,13310,13574,13391,1218
245,50,13327,13606,13423,1219
246,50,13306,13603,13417,1220
247,50,13325,13597,13429,1221
248,50,13258,13563,13389,1222
249,50,13256,13488,13366,1223
250,50,13248,13515,13358,1224
251,50,13236,13485,13356,1225
252,50,13250,13487,13366,1226
253,50,13236,13482,13366,1227
254,50,13238,13499,13368,1228
255,50,13229,13543,13371,1229
256,50,13242,13504,13357,1230
257,50,13234,13535,13370,1231
258,50,13228,13520,13359,1232
259,50,13236,13491,13339,1233
260,50,13239,13540,13364,1234
261,50,13251,13522,13367,1235
262,50,13285,13567,13376,1236
263,50,13277,13561,13372,1237
264,50,13265,13541,13382,1238
265,50,13268,13549,13375,1239
266,50,13260,13523,13361,1240
267,50,13273,13553,13387,1241
268,50,13257,13504,13367,1242
269,50,13270,13528,13365,1243
270,50,13244,13506,13352,1244
271,50,13255,13509,13382,1245
272,50,13258,13514,13364,1246
273,50,13234,13503,13359,1247
274,50,13254,13529,13378,1248
275,50,13297,13568,13429,1249
276,50,13271,13573,13405,1250
277,50,13289,13595,13427,1251
278,50,13307,13595,13436,1252
279,50,13288,13584,13396,1253
280,50,13269,13564,13349,1254
281,50,13268,13598,13378,1255
282,50,13266,13596,13394,1256
283,50,13254,13592,13388,1257
284,50,13298,13626,13421,1258
285,50,13280,13609,13399,1259
286,50,13289,13625,13409,1260
287,50,13268,13607,13394,1261
288,50,13297,13655,13418,1262
289,50,13309,13634,13421,1263
290,50,13294,13587,13430,1264
291,50,13323,13635,13443,1265
292,50,13302,13586,13427,1266
293,50,13293,13556,13418,1267
294,50,13290,13560,13415,1268
295,50,13284,13540,13399,1269
296,50,13280,13581,13404,1270
297,50,13283,13584,13408,1271
298,50,13290,13585,13415,1272
299,50,13286,13574,13420,1273
300,50,13271,13547,13403,1274
301,50,13275,13527,13382,1275
302,50,13282,13540,13400,1276
303,50,13286,13588,13421,1277
304,50,13266,13534,13407,1278
305,50,13242,13516,13358,1279
306,50,13245,13500,13356,1280
307,50,13291,13555,13412,1281
308,50,13267,13554,13415,1282
309,50,13285,13546,13414,1283
310,50,13291,13589,13418,1284
311,50,13305,13567,13415,1285
312,50,13278,13562,13411,1286
313,50,13292,13562,13398,1287
314,50,13259,13562,13386,1288
315,50,13285,13559,13409,1289
316,50,13272,13524,13388,1290
317,50,13247,13543,13390,1291
318,50,13281,13565,13399,1292
319,50,13263,13559,13401,1293
320,50,13287,13583,13412,1294
321,50,13281,13598,13409,1295
322,50,13273,13597,13404,1296
323,50,13295,13596,13396,1297
324,50,13286,13560,13399,1298
325,50,13277,13539,13388,1299
326,50,13280,13536,13390,1300
327,50,13291,13555,13401,1301
328,50,13280,13527,13376,1302
329,50,13273,13539,13375,1303
330,50,13289,13558,13381,1304
331,50,13298,13561,13403,1305
332,50,13293,13545,13390,1306
333,50,13233,13452,13347,1307
334,50,13289,13525,13378,1308
335,50,13273,13528,13362,1309
336,50,13274,13552,13371,1310
337,50,13300,13565,13358,1311
338,50,13273,13530,13357,1312
339,50,13280,13524,13348,1313
340,50,13225,13460,13323,1314
341,50,13243,13458,13323,1315
342,50,13205,13463,13315,1316
343,50,13257,13510,13334,1317
344,50,13285,13489,13355,1318
345,50,13259,13489,13346,1319
346,50,13285,13500,13366,1320
347,50,13323,13488,13401,1321
348,50,13302,13483,13405,1322
349,50,13329,13525,13421,1323
350,50,13335,13536,13445,1324
351,50,13337,13519,13424,1325
352,50,13330,13537,13419,1326
353,50,13321,13532,13390,1327
354,50,13326,13552,13453,1328
355,50,13305,13546,13398,1329
356,50,13322,13550,13429,1330
357,50,13303,13539,13440,1331
358,50,13317,13535,13443,1332
359,50,13289,13541,13405,1333
360,50,13314,13540,13434,1334
361,50,13298,13532,13429,1335
362,50,13280,13516,13430,1336
363,50,13280,13487,13400,1337
364,50,13260,13508,13395,1338
365,50,13278,13492,13405,1339
366,50,13267,13468,13410,1340
367,50,13268,13480,13403,1341
368,50,13248,13482,13411,1342
369,50,13310,13512,13426,1343
370,50,13277,13525,13420,1344
371,50,13312,13547,13435,1345
372,50,13286,13543,13432,1346
373,50,13303,13536,13433,1347
374,50,13299,13512,13432,1348
375,50,13260,13519,13390,1349
376,50,13178,13448,13325,1350
377,50,13197,13463,13335,1351
378,50,13162,13415,13327,1352
379,50,13135,13407,13317,1353
380,50,13173,13425,13330,1354
381,50,13166,13426,13310,1355
382,50,13147,13366,13295,1356
383,50,13152,13421,13311,1357
384,50,13250,13496,13318,1358
385,50,13273,13519,13356,1359
386,50,13254,13529,13360,1360
387,50,13263,13528,13347,1361
388,50,13250,13512,13347,1362
389,50,13230,13444,13325,1363
390,50,13273,13507,13349,1364
391,50,13271,13507,13345,1365
392,50,13224,13469,13326,1366
393,50,13273,13467,13374,1367
394,50,13269,13472,13380,1368
395,50,13323,13537,13405,1369
396,50,13328,13525,13400,1370
397,50,13322,13517,13402,1371
398,50,13296,13522,13383,1372
399,50,13290,13523,13356,1373
400,50,13272,13523,13348,1374
401,50,13272,13511,13342,1375
402,50,13279,13542,13349,1376
403,50,13235,13481,13335,1377
404,50,13304,13524,13398,1378
405,50,13308,13524,13402,1379
406,50,13284,13533,13408,1380
407,50,13255,13492,13402,1381
408,50,13247,13522,13342,1382
409,50,13175,13480,13317,1383
410,50,13224,13494,13337,1384
411,50,13271,13501,13348,1385
412,50,13204,13484,13314,1386
413,50,13181,13452,13308,1387
414,50,13181,13436,13303,1388
415,50,13206,13399,13301,1389
416,50,13194,13412,13300,1390
417,50,13216,13443,13297,1391
418,50,13237,13519,13310,1392
419,50,13230,13538,13317,1393
420,50,13252,13517,13325,1394
421,50,13253,13505,13345,1395
422,50,13251,13501,13337,1396
423,50,13249,13500,13348,1397
424,50,13258,13500,13351,1398
425,50,13265,13502,13355,1399
426,50,13280,13516,13366,1400
427,50,13270,13560,13362,1401
428,50,13273,13535,13354,1402
429,50,13268,13537,13348,1403
430,50,13254,13519,13347,1404
431,50,13273,13508,13356,1405
432,50,13277,13502,13352,1406
433,50,13253,13474,13334,1407
434,50,13247,13489,13349,1408
435,50,13238,13476,13351,1409
436,50,13265,13484,13344,1410
437,50,13260,13482,13346,1411
438,50,13247,13470,13338,1412
439,50,13227,13472,13326,1413
440,50,13279,13506,13363,1414
441,50,13253,13506,13363,1415
442,50,13264,13524,13365,1416
443,50,13242,13471,13325,1417
444,50,13241,13470,13323,1418
445,50,13237,13485,13336,1419
446,50,13238,13471,13337,1420
447,50,13243,13506,13335,1421
448,50,13261,13486,13339,1422
449,50,13239,13477,13342,1423
450,50,13227,13462,13343,1424
451,50,13273,13532,13364,1425
452,50,13244,13508,13344,1426
453,50,13266,13517,13358,1427
454,50,13252,13526,13353,1428
455,50,13248,13495,13339,1429
456,50,13246,13518,13348,1430
457,50,13278,13519,13350,1431
458,50,13262,13530,13352,1432
459,50,13275,13529,13358,1433
460,50,13265,13513,13360,1434
461,50,13271,13523,13355,1435
462,50,13278,13531,13354,1436
463,50,13283,13516,13367,1437
464,50,13305,13549,13393,1438
465,50,13289,13546,13380,1439
466,50,13280,13540,13376,1440
467,50,13269,13541,13371,1441
468,50,13268,13543,13383,1442
469,50,13283,13534,13378,1443
470,50,13262,13496,13354,1444
471,50,13273,13528,13369,1445
472,50,13244,13502,13348,1446
473,50,13266,13507,13355,1447
474,50,13258,13503,13337,1448
475,50,13240,13517,13341,1449
476,50,13272,13526,13374,1450
477,50,13274,13558,13376,1451
478,50,13248,13517,13343,1452
479,50,13278,13535,13366,1453
480,50,13269,13539,13372,1454
481,50,13285,13567,13383,1455
482,50,13271,13527,13358,1456
483,50,13265,13543,13367,1457
484,50,13292,13569,13395,1458
485,50,13283,13557,13399,1459
486,50,13293,13522,13391,1460
487,50,13264,13521,13372,1461
488,50,13288,13544,13401,1462
489,50,13383,13624,13505,1463
490,50,13536,13797,13669,1464
491,50,13412,13735,13561,2526
492,50,13380,13550,13456,2530
493,50,13327,13543,13423,2531
494,50,13255,13481,13377,2532
495,50,13260,13472,13371,2533
496,50,13253,13447,13376,2534
497,50,13240,13447,13356,2535
498,50,13192,13461,13363,2536
499,50,13191,13478,13320,2537
500,50,13171,13473,13274,2538
501,50,13186,13468,13303,2539
502,50,13204,13508,13414,2540
503,50,13214,13542,13408,2541
504,50,13227,13529,13466,2542
505,50,13232,13546,13443,2543
506,50,13268,13547,13476,2544
507,50,13258,13554,13474,2545
508,50,13305,13569,13505,2546
509,50,13278,13586,13494,2547
510,50,13379,13561,13527,2548
511,50,13416,13587,13547,2549
512,50,13401,13578,13547,2550
513,50,13376,13597,13530,2551
514,50,13296,13591,13517,2552
515,50,13307,13582,13534,2553
516,50,13296,13569,13502,2554
517,50,13319,13590,13530,2555
518,50,13326,13584,13529,2556
519,50,13319,13580,13527,2557
520,50,13296,13590,13522,2558
521,50,13280,13595,13526,2559
522,50,13306,13594,13549,2560
523,50,13346,13595,13541,2561
524,50,13369,13662,13532,2562
525,50,13305,13603,13509,2563
526,50,13280,13584,13455,2564
527,50,13279,13618,13461,2565
528,50,13314,13606,13456,2566
529,50,13265,13609,13437,2567
530,50,13188,13646,13434,2568
531,50,13165,13674,13443,2569
532,50,13168,13659,13440,2570
533,50,13142,13670,13429,2571
534,50,13224,13675,13453,2572
535,50,13184,13699,13461,2573
536,50,13166,13685,13480,2574
537,50,13283,13701,13495,2575
538,50,13193,13729,13483,2576
539,50,13192,13715,13453,2577
540,50,13248,13706,13515,2578
541,50,13271,13704,13528,2579
542,50,13324,13705,13543,2580
543,50,13176,13707,13516,2581
544,50,13286,13566,13490,2582
545,50,13364,13616,13484,2585
546,50,13318,13607,13449,2586
547,50,13340,13589,13444,2587
548,50,13342,13604,13465,2588
549,50,13372,13607,13481,2589
550,50,13362,13640,13479,2590
551,50,13370,13602,13478,2591
552,50,13420,13629,13517,2592
553,50,13388,13623,13508,2593
554,50,13383,13606,13491,2594
555,50,13304,13585,13454,2595
556,50,13274,13514,13436,2596
557,50,13272,13516,13414,2597
558,50,13280,13513,13417,2598
559,50,13273,13535,13394,2599
560,50,13306,13538,13401,2600
561,50,13294,13571,13407,2601
562,50,13299,13566,13415,2602
563,50,13317,13558,13422,2603
564,50,13329,13571,13421,2604
565,50,13341,13579,13438,2605
566,50,13301,13530,13421,2606
567,50,13293,13543,13422,2607
568,50,13255,13522,13397,2608
