 ,Area,Min,Max,Median,Slice
1,50,12348,12827,12540,371
2,50,12359,12825,12588,372
3,50,12423,12940,12687,373
4,50,12429,12957,12689,374
5,50,12405,12908,12657,375
6,50,12437,12873,12612,376
7,50,12403,12918,12629,377
8,50,12402,12824,12629,378
9,50,12414,12812,12598,379
10,50,12413,12810,12600,380
11,50,12327,12813,12559,381
12,50,12412,12826,12580,382
13,50,12372,12829,12535,383
14,50,12362,12758,12548,384
15,50,12357,12743,12525,385
16,50,12353,12752,12518,386
17,50,12262,12754,12503,387
18,50,12362,12803,12551,388
19,50,12416,12816,12571,389
20,50,12424,12793,12593,390
21,50,12427,12828,12596,391
22,50,12456,12860,12629,392
23,50,12441,12847,12612,393
24,50,12455,12860,12632,394
25,50,12446,12824,12643,395
26,50,12485,12899,12650,396
27,50,12477,12891,12663,397
28,50,12494,12886,12694,398
29,50,12490,12891,12657,399
30,50,12370,12830,12571,400
31,50,12419,12805,12601,401
32,50,12434,12811,12576,402
33,50,12413,12788,12573,403
34,50,12346,12809,12523,404
35,50,12357,12824,12576,405
36,50,12396,12809,12594,406
37,50,12334,12864,12516,407
38,50,12325,12870,12495,408
39,50,12272,12844,12484,409
40,50,12326,12860,12486,410
41,50,12332,12899,12518,411
42,50,12330,12870,12506,412
43,50,12336,12883,12500,413
44,50,12335,12727,12469,414
45,50,12254,12742,12461,415
46,50,12239,12748,12456,416
47,50,12208,12823,12456,417
48,50,12251,12847,12516,418
49,50,12255,12853,12481,419
50,50,12322,12845,12482,420
51,50,12286,12887,12491,421
52,50,12332,12872,12495,422
53,50,12305,12855,12493,423
54,50,12286,12900,12470,424
55,50,12341,12915,12529,425
56,50,12287,12911,12495,426
57,50,12286,12923,12481,427
58,50,12261,12836,12456,428
59,50,12306,12907,12517,429
60,50,12339,12890,12529,430
61,50,12271,12879,12488,431
62,50,12328,12879,12554,432
63,50,12374,12898,12548,433
64,50,12353,12883,12545,434
65,50,12351,12874,12527,435
66,50,12411,12837,12580,436
67,50,12434,12845,12572,437
68,50,12449,12856,12589,438
69,50,12375,12832,12569,439
70,50,12365,12820,12574,440
71,50,12366,12802,12537,441
72,50,12381,12784,12519,442
73,50,12471,12833,12645,443
74,50,12697,13033,12857,444
75,50,12746,12923,12805,445
76,50,12543,12891,12709,446
77,50,12459,12863,12717,447
78,50,12361,12826,12600,448
79,50,12378,12801,12606,449
80,50,12330,12778,12692,450
81,50,12528,12834,12713,451
82,50,12433,12839,12711,452
83,50,12486,12818,12766,453
84,50,12472,12839,12764,454
85,50,12474,12858,12762,455
86,50,12453,12863,12762,456
87,50,12534,12871,12789,457
88,50,12418,12875,12768,458
89,50,12467,12882,12784,459
90,50,12426,12878,12804,460
91,50,12414,12881,12756,461
92,50,12443,12895,12803,462
93,50,12367,12879,12714,463
94,50,12641,12835,12789,464
95,50,12568,12816,12783,465
96,50,12588,12823,12770,466
97,50,12475,12849,12734,467
98,50,12435,12860,12743,468
99,50,12467,12809,12745,469
100,50,12453,12807,12734,470
101,50,12542,12792,12729,471
102,50,12446,12771,12711,472
103,50,12515,12780,12716,473
104,50,12529,12793,12730,474
105,50,12518,12803,12751,475
106,50,12464,12823,12726,476
107,50,12428,12810,12655,477
108,50,12400,12809,12652,478
109,50,12366,12810,12624,479
110,50,12358,12815,12639,480
111,50,12478,12839,12735,481
112,50,12366,12818,12638,482
113,50,12363,12823,12633,483
114,50,12428,12860,12745,484
115,50,12422,12860,12690,485
116,50,12415,12857,12670,486
117,50,12390,12874,12655,487
118,50,12443,12863,12721,488
119,50,12429,12865,12688,489
120,50,12389,12866,12600,490
121,50,12393,12865,12646,491
122,50,12417,12870,12669,492
123,50,12410,12868,12637,493
124,50,12382,12860,12652,494
125,50,12471,12871,12737,495
126,50,12458,12876,12739,496
127,50,12435,12850,12712,497
128,50,12423,12847,12709,498
129,50,12506,12850,12771,499
130,50,12465,12817,12738,500
131,50,12398,12804,12705,501
132,50,12456,12771,12665,502
133,50,12382,12772,12659,503
134,50,12541,12859,12744,504
135,50,12437,12896,12658,505
136,50,12333,12587,12457,506
137,50,11189,12118,11792,508
138,50,11194,12197,11952,509
139,50,11175,12213,11965,510
140,50,11186,12287,12048,511
141,50,11201,12285,11712,512
142,50,11210,12199,11231,513
143,50,11217,12250,11373,514
144,50,11217,12160,11240,515
145,50,11202,12035,11237,516
146,50,11209,12224,11306,517
147,50,11161,12504,11958,761
148,50,11169,12503,11834,762
149,50,11189,12467,12098,763
150,50,11146,12431,11864,764
