group;ID;video_file;sub_stack;Slice;Median;seqID;time;m.center;filteredsignal;filt_med;peak;phase;Intensity;Distance;Slope;type;NF;Call.duration;breathidx
1;1;334;IR_2019-06-13_0334_out.csv;4518;140907287;IR_2019-06-13_0334_out.csv 1;1506;399294174;318637086;1401007161;69;1;0.16423633;0.266666667;-1.947440579;n;n;;2
1;1;334;IR_2019-06-13_0334_out.csv;4526;1392649237;IR_2019-06-13_0334_out.csv 1;1508666667;235057844;-177402636;1351403189;77;2;0.197044391;0.133333333;1.454491782;n;n;;2
1;1;334;IR_2019-06-13_0334_out.csv;4530;1412353676;IR_2019-06-13_0334_out.csv 1;151;432102235;171474882;1386290941;81;3;0.188824799;0.133333333;-1.379205121;n;n;;2
1;1;334;IR_2019-06-13_0334_out.csv;4534;1393471196;IR_2019-06-13_0334_out.csv 1;1511333333;243277436;274376947;1396581147;85;1;0.743073913;0.5;-1.397824996;n;n;;3
1;1;334;IR_2019-06-13_0334_out.csv;4549;1319163805;IR_2019-06-13_0334_out.csv 1;1516333333;-499796477;-425438559;1326599597;100;2;0.63615519;0.5;1.297432651;n;n;;3
1;1;334;IR_2019-06-13_0334_out.csv;4564;1382779324;IR_2019-06-13_0334_out.csv 1;1521333333;136358713;17680491;1386823943;115;3;0.098699131;1.133333333;0.157173604;n;n;;3
1;1;334;IR_2019-06-13_0334_out.csv;4598;1392649237;IR_2019-06-13_0334_out.csv 1;1532666667;235057844;230986727;1392242125;149;1;0.709976472;0.5;-1.593013819;n;n;;4
1;1;334;IR_2019-06-13_0334_out.csv;4613;132165159;IR_2019-06-13_0334_out.csv 1;1537666667;-474918628;-513479562;1317795496;164;2;0.635963215;0.333333333;2.341449383;n;n;;4
1;1;334;IR_2019-06-13_0334_out.csv;4623;1385247911;IR_2019-06-13_0334_out.csv 1;1541;161044587;157548153;1384898268;174;3;NA;NA;NA;n;n;;4
1;1;334;4245-4701;4624;13013;IR_2019-06-13_0334-Substack (4245-4701).xlsx;1541333333;365762791;23597771;1288321492;175;3;0.26;0.766666667;0.419713043;n;n;;3
1;1;334;4245-4701;4647;13273;IR_2019-06-13_0334-Substack (4245-4701).xlsx;1549;625762791;548623318;1319586053;198;1;NA;NA;NA;n;n;;4
1;2;337;1538-1811;1595;11748;IR_2019-06-13_0337-Substack (1583-1811).xlsx;5316666667;-1027495652;-995383276;1178011238;13;2;1.764;0.866666667;1.68014652;n;n;;1
1;2;337;1538-1811;1621;13512;IR_2019-06-13_0337-Substack (1583-1811).xlsx;5403333333;736504348;716887199;1349238285;39;3;0.184;0.4;-0.760714286;n;y;;1
1;2;337;1538-1811;1633;13328;IR_2019-06-13_0337-Substack (1583-1811).xlsx;5443333333;552504348;51838412;1329387977;51;1;1.214;0.633333333;-2.234548872;bc;y;;2
1;2;337;1538-1811;1652;12114;IR_2019-06-13_0337-Substack (1583-1811).xlsx;5506666667;-661495652;-757557941;1201793771;70;2;0.693;0.4;2.384010989;bc;y;;2
1;2;337;1538-1811;1664;12807;IR_2019-06-13_0337-Substack (1583-1811).xlsx;5546666667;31504348;81803345;12857299;82;3;0.462;1;0.192362903;bc;y;;2
1;2;337;1538-1811;1694;13269;IR_2019-06-13_0337-Substack (1583-1811).xlsx;5646666667;493504348;261281675;1303677733;112;1;1.265;0.6;-1.645684211;c;y;;3
1;2;337;1538-1811;1712;12004;IR_2019-06-13_0337-Substack (1583-1811).xlsx;5706666667;-771495652;-716123639;1205937201;130;2;0.972;0.366666667;2.765769231;c;n;;3
1;2;337;1538-1811;1723;12976;IR_2019-06-13_0337-Substack (1583-1811).xlsx;5743333333;200504348;75027082;1285052273;141;3;0.302;0.966666667;0.444193548;c;y;;3
1;2;337;1538-1811;1752;13278;IR_2019-06-13_0337-Substack (1583-1811).xlsx;584;502504348;589648174;1336514383;170;1;1.445;0.666666667;-1.685220779;ac;y;;4
1;2;337;1538-1811;1772;11833;IR_2019-06-13_0337-Substack (1583-1811).xlsx;5906666667;-942495652;-778938347;1199655731;190;2;0.907;0.2;5.689285714;ac;n;;4
1;2;337;1538-1811;1778;1274;IR_2019-06-13_0337-Substack (1583-1811).xlsx;5926666667;-35495652;-58860354;127166353;196;3;NA;NA;NA;ac;n;;4
2;3;374;IR_2019-06-15_0374_out.csv;1481;1109131346;IR_2019-06-15_0374_out.csv 2;4936666667;-681251539;-613363882;1115920112;8;2;0.627381462;0.366666667;1.62433058;n;n;;1
2;3;374;IR_2019-06-15_0374_out.csv;1492;1171869492;IR_2019-06-15_0374_out.csv 2;4973333333;-53870077;-168549263;1160401574;19;3;0.286632976;1.866666667;0.295652239;n;n;;1
2;3;374;IR_2019-06-15_0374_out.csv;1548;120053279;IR_2019-06-15_0374_out.csv 2;516;232762899;239494918;1201205992;75;1;0.735477862;0.566666667;-1.365382393;n;n;;2
2;3;374;IR_2019-06-15_0374_out.csv;1565;1126985004;IR_2019-06-15_0374_out.csv 2;5216666667;-502714962;-51862759;1125393741;92;2;0.794364955;0.6;1.44471632;n;n;;2
2;3;374;IR_2019-06-15_0374_out.csv;1583;1206421499;IR_2019-06-15_0374_out.csv 2;5276666667;291649992;324042204;120966072;110;3;0.109248529;1.7;0.008075392;n;n;;2
2;3;374;IR_2019-06-15_0374_out.csv;1634;1217346352;IR_2019-06-15_0374_out.csv 2;5446666667;400898522;32944552;1210201052;161;1;1.175827245;0.466666667;-2.503711964;n;n;;3
2;3;374;IR_2019-06-15_0374_out.csv;1648;1099763628;IR_2019-06-15_0374_out.csv 2;5493333333;-774928724;-722270857;1105029414;175;2;0.965603229;0.6;1.605798962;n;n;;3
2;3;374;IR_2019-06-15_0374_out.csv;1666;1196323951;IR_2019-06-15_0374_out.csv 2;5553333333;190674505;15441362;1192697862;193;3;0.227018445;0.6;0.260676343;n;n;;3
2;3;374;IR_2019-06-15_0374_out.csv;1684;1219025795;IR_2019-06-15_0374_out.csv 2;5613333333;41769295;257105154;1202967016;211;1;1.32907417;0.166666667;-8.271094132;n;n;;4
2;3;374;IR_2019-06-15_0374_out.csv;1689;1086118378;IR_2019-06-15_0374_out.csv 2;563;-911381219;-547877861;1122468714;216;2;1.110475151;0.133333333;9.513919926;n;n;;4
2;3;374;IR_2019-06-15_0374_out.csv;1693;1197165893;IR_2019-06-15_0374_out.csv 2;5643333333;199093931;91308841;1186387384;220;3;NA;NA;NA;n;n;;4
2;3;374;IR_2019-06-15_0374_out.csv;2755;1209784559;IR_2019-06-15_0374_out.csv 3;9183333333;-135654705;-262028591;119714717;6;2;0.109203323;0.2;1.602122205;n;n;;1
2;3;374;IR_2019-06-15_0374_out.csv;2761;1220704891;IR_2019-06-15_0374_out.csv 3;9203333333;-26451382;56274766;1228977506;12;3;0.36016949;0.8;0.38236991;n;n;;1
